SEASON_YEAR;LEAGUE;DIV;SEASON TYPE;TEAM;ID;GP;MP;PT;DR;OR;RB;AS;ST;BS;TO;PF;EF;MPG;PPG;DRPG;ORPG;RPG;APG;SPG;BPG;TOPG;PFPG;EFPG;2PM;2PA;2P%;3PM;3PA;3P%;FGM;FGA;FG%;FTM;FTA;FT%;OPP_PPG;OPP_RPG;OPP_APG;OPP_SPG;OPP_BPG;OPP_2P%;OPP_3P%;OPP_FG%;OPP_FT%;WINS;PACE;PER;PIE;ORTG;DRTG;NRTG;TS%;PPP;AS_TO;EFG%;TOV%;ORB%;FT_RATE;OPP_EFG%;OPP_TOV%;OPP_ORB%;OPP_FT_RATE
20222023;NBBL;NBBL B;SEASON;Sartorius Juniors;20222023_NBBL_NBBL B_SEASON_Sartorius Juniors;16;3225;1342;402;209;611;220;139;39;237;302;1406;201.6;84;25.1;13;38;13.8;9;2;14.8;19;88;364;639;57.0;148;496;29.8;512;1135;45.1;170;255;66.7;73.7;31.1;10.6;7.3;1.6;49.7;29.4;42.2;57.8;12.0;75.9;18.6;60.2;109.6;96.3;13.3;54.2;1.1;0.9;51.6;16.1;38.3;15.0;47.6;17.3;28.6;20.4
20222023;NBBL;NBBL B;SEASON;SG Junior Löwen Braunschweig;20222023_NBBL_NBBL B_SEASON_SG Junior Löwen Braunschweig;15;3025;1218;355;179;534;148;144;37;276;302;1102;201.7;81;23.7;12;36;9.9;10;2;18.4;20;73;395;737;53.6;86;300;28.7;481;1037;46.4;170;317;53.6;83.0;34.6;14.9;11.5;2.8;54.9;27.9;45.4;61.9;7.0;81.5;14.7;45.3;98.8;101.0;-2.2;52.3;1.0;0.5;50.5;19.2;35.1;16.4;50.3;19.3;34.6;19.8
20222023;NBBL;NBBL B;SEASON;Team Bonn/Rhöndorf;20222023_NBBL_NBBL B_SEASON_Team Bonn/Rhöndorf;18;3625;1361;474;206;680;239;202;54;352;405;1268;201.4;76;26.3;11;38;13.3;11;3;19.6;23;70;344;725;47.4;124;502;24.7;468;1227;38.1;301;458;65.7;74.9;39.0;13.5;9.7;2.7;48.5;24.6;41.1;57.2;8.0;83.9;13.2;49.9;89.5;88.7;0.9;48.3;0.9;0.7;43.2;20.0;29.3;24.5;44.9;20.2;30.3;21.2
20222023;NBBL;NBBL B;SEASON;Team Südhessen;20222023_NBBL_NBBL B_SEASON_Team Südhessen;14;2800;1109;361;188;549;206;180;72;257;262;1219;200.0;79;25.8;13;39;14.7;13;5;18.4;19;87;364;679;53.6;76;303;25.1;440;982;44.8;153;251;61.0;71.1;36.2;11.1;10.1;4.2;44.4;27.7;38.9;66.9;9.0;81.6;17.0;61.1;97.1;87.2;9.9;51.2;1.0;0.8;48.7;19.2;35.7;15.6;43.5;22.6;31.8;20.5
20222023;NBBL;NBBL B;SEASON;TS Jahn München;20222023_NBBL_NBBL B_SEASON_TS Jahn München;18;3600;1263;468;213;681;274;211;61;326;276;1240;200.0;70;26.0;12;38;15.2;12;3;18.1;15;69;344;725;47.4;134;549;24.4;478;1274;37.5;173;301;57.5;70.3;39.4;14.2;9.9;3.1;48.8;25.2;39.5;62.2;10.0;81.7;13.5;49.5;85.9;86.0;-0.1;45.3;0.9;0.8;42.8;18.9;29.4;13.6;44.5;21.9;29.6;15.1
20222023;NBBL;NBBL B;SEASON;USC Heidelberg;20222023_NBBL_NBBL B_SEASON_USC Heidelberg;18;3600;1314;411;217;628;219;248;63;325;318;1265;200.0;73;22.8;12;35;12.2;14;4;18.1;18;70;386;842;45.8;102;395;25.8;488;1237;39.5;236;369;64.0;71.9;40.7;13.9;8.8;3.1;49.0;29.1;42.8;54.7;8.0;81.4;14.2;50.8;89.6;88.3;1.3;47.5;0.9;0.7;43.6;19.0;30.2;19.1;47.4;24.2;36.0;15.8
20222023;NBBL;NBBL B;SEASON;VfL Kirchheim Knights;20222023_NBBL_NBBL B_SEASON_VfL Kirchheim Knights;17;3400;1152;469;179;648;254;171;38;365;316;1191;200.0;68;27.6;11;38;14.9;10;2;21.5;19;70;368;687;53.6;95;374;25.4;463;1061;43.6;131;240;54.6;65.7;35.6;11.2;11.9;2.6;46.6;20.7;37.4;57.4;8.0;78.4;13.1;54.9;86.4;83.8;2.6;49.8;0.9;0.7;48.1;24.0;30.4;12.3;41.0;19.8;29.4;19.0
20222023;NBBL;NBBL B;SEASON;Würzburg Baskets Akademie;20222023_NBBL_NBBL B_SEASON_Würzburg Baskets Akademie;17;3400;1319;474;247;721;269;145;53;285;302;1345;200.0;78;27.9;15;42;15.8;9;3;16.8;18;79;359;728;49.3;130;485;26.8;489;1213;40.3;211;364;58.0;72.1;37.8;14.8;9.4;2.0;47.1;27.9;40.4;60.1;11.0;80.4;15.7;54.0;96.5;89.6;6.9;48.5;1.0;0.9;45.7;17.3;35.7;17.4;45.3;19.5;29.4;15.4
20222023;NBBL;NBBL B;SEASON;Young Gladiators Trier;20222023_NBBL_NBBL B_SEASON_Young Gladiators Trier;18;3625;1230;433;208;641;237;146;36;357;280;1073;201.4;68;24.1;12;36;13.2;8;2;19.8;16;60;374;780;47.9;90;374;24.1;464;1154;40.2;212;382;55.5;82.6;40.0;15.9;12.3;2.8;56.7;26.5;46.1;61.7;5.0;79.7;11.8;37.0;85.1;102.9;-17.8;47.1;0.9;0.7;44.1;21.5;30.3;18.4;50.8;18.3;35.9;15.3
20232024;NBBL;NBBL A;PLAYOFFS;Alba Berlin;20232024_NBBL_NBBL A_PLAYOFFS_Alba Berlin;6;1200;445;160;58;218;98;68;12;143;122;448;200.0;74;26.7;10;36;16.3;11;2;23.8;20;75;122;250;48.8;33;110;30.0;155;360;43.1;102;147;69.4;76.0;33.2;15.7;14.2;3.5;47.1;27.4;38.1;67.4;3.0;82.3;14.0;52.5;90.1;92.3;-2.2;;;;;;;;;;;
