TEAM;DIV;GP;MP;PT;DR;OR;RB;AS;ST;BS;TO;PF;EF;MP;PT;DR;OR;RB;AS;ST;BS;TO;PF;EF;2PM;2PA;2P%;3PM;3PA;3P%;FGM;FGA;FG%;FTM;FTA;FT%;PT;RB;AS;ST;BS;2P%;3P%;FG%;FT%;WINS;PACE;PER;PIE;ORTG;DRTG;NRTG;TS%;PPP;AS/TO;EFG%;TOV%;ORB%;FT-RATE;OPP EFG%;OPP TOV%;OPP ORB%;OPP FT-RATE
Tornados Franken;3;600;216;73;37;110;51;38;5;69;57;202;200;72.0;24.3;12.3;36.7;17.0;12.7;1.7;23.0;19.0;67.3;57.0;131;44;20.0;68;29;77.0;199;39;42.0;69;61;81.0;36.3;17.7;11.0;4.3;52.6;33.0;42.5;60.9;1.0;82;13.1;41.3;87.3;98.2;-10.9;47.7;0.9;0.7;43.7;23.3;33.0;21.1;51.0;19.9;31.8;19.5;
UBC Münster;3;600;211;72;32;104;48;25;12;69;50;185;200;70.3;24.0;10.7;34.7;16.0;8.3;4.0;23.0;16.7;61.7;54.0;109;50;21.0;82;26;75.0;191;39;40.0;70;57;79.7;37.3;14.0;12.7;4.7;51.7;26.1;43.5;60.3;1.0;83;11.9;41.9;85.1;96.4;-11.3;48.2;0.9;0.7;44.8;24.0;30.2;20.9;47.7;18.3;34.5;16.4;
Young Rasta Dragons;8;1600;658;200;123;323;119;102;34;141;164;720;200;82.3;25.0;15.4;40.4;14.9;12.8;4.3;17.6;20.5;90.0;148.0;290;51;75.0;260;29;223.0;550;41;137.0;185;74;68.8;29.0;12.9;9.4;3.1;46.4;28.0;39.9;70.7;6.0;78;19.0;62.8;105.2;88.0;17.3;52.7;1.1;0.8;47.4;18.4;42.0;24.9;44.9;22.1;23.7;25.8;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
