SEASON;LEAGUE;DIV;SEASON_TYPE;TEAM;PLAYER;POS;ROLE;ID;EST_POS;EST_ROLE;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;DD;TD;MPG;PPG;RPG;APG;SPG;BPG;TOPG;PFPG;EFPG;PER;PIE;2PM;2PA;2P%;3PM;3PA;3P%;FGM;FGA;FG%;FTM;FTA;FT%;ORTG;DRTG;NRTG;OBPM;DBPM;BPM;VORP;OWS;DWS;WS;WS_40;FIC;FIC_Gm;AS_RATIO;AS_RATE;AS_TO;REB%;ST%;BS%;USAGE;TS%;EFG%;TOV%;ORB%;FT_RATE
20222023;NBBL;NBBL B;SEASON;ROTH Energie BBA Giessen 46ers;Carl Chromik;Point;Creator;20222023_NBBL_NBBL B_SEASON_ROTH Energie BBA Giessen 46ers_Carl Chromik;1.3;2.8;2004;10;122.6;29;18;24;5;0;15;16;40;0;0;12.3;2.9;1.8;2.4;0.5;0.0;1.5;1.6;4.0;12.4;2.3;10;20;50.0;1;11;9.1;11;31;35.5;6;7;85.7;87.7;91.4;-3.8;-2.0;-0.1;-2.1;0.1;0.0;0.2;0.2;0.1;23.6;2.4;13.6;44.3;1.6;8.0;2.0;0.0;15.7;42.9;37.1;30.6;3.4;19.4
20222023;NBBL;NBBL B;SEASON;ROTH Energie BBA Giessen 46ers;Christian Mann;Forward;Creator;20222023_NBBL_NBBL B_SEASON_ROTH Energie BBA Giessen 46ers_Christian Mann;4.7;2.6;2006;11;272.1;145;91;5;13;3;19;25;198;2;0;24.7;13.2;8.3;0.5;1.2;0.3;1.7;2.3;18.0;36.0;14.3;59;89;66.3;4;9;44.4;63;98;64.3;15;20;75.0;129.7;89.1;40.7;5.9;-0.8;5.1;2.6;1.8;0.6;2.4;0.4;132.5;12.0;1.5;3.9;0.3;19.5;2.4;1.1;18.6;68.4;66.3;15.1;18.2;15.3
20222023;NBBL;NBBL B;SEASON;ROTH Energie BBA Giessen 46ers;Christopher Herget;Forward;Creator;20222023_NBBL_NBBL B_SEASON_ROTH Energie BBA Giessen 46ers_Christopher Herget;4.1;2.9;2004;16;384.0;179;120;29;35;15;47;39;237;5;0;24.0;11.2;7.5;1.8;2.2;0.9;2.9;2.4;14.8;29.4;10.6;63;122;51.6;9;31;29.0;72;153;47.1;26;39;66.7;100.0;83.4;16.6;3.7;2.2;6.0;3.7;1.0;1.1;2.2;0.2;163.1;10.2;4.8;12.9;0.6;17.5;4.5;4.0;22.6;53.1;50.0;21.6;12.4;17.0
20222023;NBBL;NBBL B;SEASON;ROTH Energie BBA Giessen 46ers;David Sann;Combo;Neutral;20222023_NBBL_NBBL B_SEASON_ROTH Energie BBA Giessen 46ers_David Sann;2.0;3.4;2005;15;253.1;87;11;23;9;3;30;31;41;0;0;16.9;5.8;0.7;1.5;0.6;0.2;2.0;2.1;2.7;10.3;0.5;30;56;53.6;6;21;28.6;36;77;46.8;9;30;30.0;84.5;96.3;-11.8;-2.3;-1.0;-3.3;-0.4;-0.1;0.2;0.1;0.0;16.0;1.1;6.5;18.3;0.8;2.4;1.8;1.2;19.0;48.9;50.6;25.0;0.4;11.7
20222023;NBBL;NBBL B;SEASON;ROTH Energie BBA Giessen 46ers;Detwan Andrews;Combo;Receiver;20222023_NBBL_NBBL B_SEASON_ROTH Energie BBA Giessen 46ers_Detwan Andrews;2.4;4.6;2005;16;322.2;125;39;16;16;2;19;49;66;0;0;20.1;7.8;2.4;1.0;1.0;0.1;1.2;3.1;4.1;12.0;0.7;18;57;31.6;22;88;25.0;40;145;27.6;23;31;74.2;92.8;93.3;-0.5;-2.0;-0.7;-2.7;-0.3;0.3;0.4;0.8;0.1;26.6;1.7;3.4;8.8;0.8;6.8;2.4;0.6;22.0;39.7;35.2;10.7;3.0;15.9
20222023;NBBL;NBBL B;SEASON;ROTH Energie BBA Giessen 46ers;Elvin Mehovic;Combo;Receiver;20222023_NBBL_NBBL B_SEASON_ROTH Energie BBA Giessen 46ers_Elvin Mehovic;1.9;4.2;2006;1;10.0;2;0;0;0;0;2;0;-1;0;0;10.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;-1.0;-5.4;-0.9;1;2;50.0;0;0;0.0;1;2;50.0;0;0;0.0;46.0;114.4;-68.4;-4.4;-0.3;-4.8;-0.1;-0.1;0.0;-0.1;-0.3;-1.5;-1.5;0.0;0.0;0.0;0.0;0.0;0.0;16.7;50.0;50.0;50.0;0.0;0.0
20222023;NBBL;NBBL B;SEASON;ROTH Energie BBA Giessen 46ers;Erik Lindenstruth;Forward;Neutral;20222023_NBBL_NBBL B_SEASON_ROTH Energie BBA Giessen 46ers_Erik Lindenstruth;4.2;3.7;2004;14;251.3;86;69;4;16;4;19;26;131;0;0;18.0;6.1;4.9;0.3;1.1;0.3;1.4;1.9;9.4;25.0;5.8;33;51;64.7;1;5;20.0;34;56;60.7;17;24;70.8;115.8;92.0;23.7;2.7;0.2;2.9;1.8;0.9;0.4;1.3;0.2;88.3;6.3;1.8;4.6;0.2;15.6;3.2;1.6;13.7;65.5;61.6;22.2;16.4;30.4
20222023;NBBL;NBBL B;SEASON;ROTH Energie BBA Giessen 46ers;Finn Döntgens;Big;Pure Creator;20222023_NBBL_NBBL B_SEASON_ROTH Energie BBA Giessen 46ers_Finn Döntgens;4.9;1.8;2004;15;395.3;206;146;26;17;8;33;31;314;5;0;26.4;13.7;9.7;1.7;1.1;0.5;2.2;2.1;20.9;38.2;16.4;90;128;70.3;0;1;0.0;90;129;69.8;26;43;60.5;126.7;89.5;37.2;8.6;0.2;8.8;5.0;2.6;0.8;3.4;0.3;221.4;14.8;5.1;13.9;0.8;20.9;2.1;2.1;18.3;70.5;69.8;18.2;18.1;20.2
20222023;NBBL;NBBL B;SEASON;ROTH Energie BBA Giessen 46ers;Jon Ukaj;Point;Creator;20222023_NBBL_NBBL B_SEASON_ROTH Energie BBA Giessen 46ers_Jon Ukaj;1.4;2.8;2005;12;255.1;114;31;41;15;2;33;21;78;0;0;21.3;9.5;2.6;3.4;1.3;0.2;2.8;1.8;6.5;17.7;4.3;30;74;40.5;9;49;18.4;39;123;31.7;27;35;77.1;90.2;92.1;-1.8;-0.6;-1.1;-1.7;0.1;0.2;0.4;0.6;0.1;48.4;4.0;7.9;22.7;1.2;6.7;2.9;0.8;26.7;41.6;35.4;19.2;3.3;22.0
20222023;NBBL;NBBL B;SEASON;ROTH Energie BBA Giessen 46ers;Lorenz Kohl;Forward;Neutral;20222023_NBBL_NBBL B_SEASON_ROTH Energie BBA Giessen 46ers_Lorenz Kohl;3.8;3.9;2004;13;209.9;74;37;8;5;4;13;37;72;0;0;16.1;5.7;2.8;0.6;0.4;0.3;1.0;2.8;5.5;15.6;2.1;22;38;57.9;6;25;24.0;28;63;44.4;12;20;60.0;104.1;94.1;10.0;-1.1;-0.6;-1.7;0.1;0.5;0.3;0.7;0.1;35.8;2.8;3.5;9.2;0.6;9.5;1.2;1.9;16.0;52.1;49.2;15.3;6.4;19.0
20222023;NBBL;NBBL B;SEASON;ROTH Energie BBA Giessen 46ers;Niklas Bertram;Forward;Receiver;20222023_NBBL_NBBL B_SEASON_ROTH Energie BBA Giessen 46ers_Niklas Bertram;3.8;4.4;2006;3;17.9;0;4;1;0;0;2;1;2;0;0;6.0;0.0;1.3;0.3;0.0;0.0;0.7;0.3;0.7;-3.7;0.3;0;1;0.0;0;0;0.0;0;1;0.0;0;0;0.0;15.6;114.3;-98.7;-3.8;0.1;-3.6;0.1;-0.1;0.0;-0.1;-0.3;0.8;0.3;9.5;31.3;0.5;13.8;0.0;0.0;7.5;0.0;0.0;66.6;0.0;0.0
20222023;NBBL;NBBL B;SEASON;ROTH Energie BBA Giessen 46ers;Phillip Becker;Wing;Neutral;20222023_NBBL_NBBL B_SEASON_ROTH Energie BBA Giessen 46ers_Phillip Becker;3.0;3.4;2004;5;49.3;20;6;3;4;2;9;9;19;0;0;9.9;4.0;1.2;0.6;0.8;0.4;1.8;1.8;3.8;16.2;1.8;7;12;58.3;0;2;0.0;7;14;50.0;6;6;100.0;89.7;80.3;9.4;-4.3;0.2;-4.1;-0.2;0.0;0.2;0.2;0.2;7.8;1.6;4.5;11.3;0.3;7.0;3.8;4.2;19.6;61.0;50.0;35.1;4.6;42.9
20222023;NBBL;NBBL B;SEASON;ROTH Energie BBA Giessen 46ers;Till Heyne;Point;Creator;20222023_NBBL_NBBL B_SEASON_ROTH Energie BBA Giessen 46ers_Till Heyne;1.0;2.4;2006;16;388.5;150;21;59;27;1;46;40;105;0;0;24.3;9.4;1.3;3.7;1.7;0.1;2.9;2.5;6.6;16.9;3.9;24;44;54.5;25;94;26.6;49;138;35.5;27;45;60.0;95.1;93.7;1.4;2.1;0.1;2.2;1.9;0.6;0.5;1.1;0.1;67.9;4.2;9.1;27.2;1.3;3.0;3.4;0.3;20.9;48.1;44.6;22.6;1.7;19.6
20222023;NBBL;NBBL B;SEASON;ROTH Energie BBA Giessen 46ers;Tristan Göbel;Combo;Neutral;20222023_NBBL_NBBL B_SEASON_ROTH Energie BBA Giessen 46ers_Tristan Göbel;2.4;3.7;2004;12;268.9;117;43;18;25;2;26;16;97;1;0;22.4;9.8;3.6;1.5;2.1;0.2;2.2;1.3;8.1;21.2;5.9;37;79;46.8;10;39;25.6;47;118;39.8;13;24;54.2;93.5;87.3;6.2;1.0;1.2;2.2;1.5;0.4;0.6;1.0;0.1;66.0;5.5;4.2;11.3;0.7;8.8;4.6;0.7;23.1;45.8;44.1;16.8;5.3;11.0
20222023;NBBL;NBBL B;SEASON;Sartorius Juniors;Carlos Kellner;Wing;Receiver;20222023_NBBL_NBBL B_SEASON_Sartorius Juniors_Carlos Kellner;2.6;4.9;2006;2;15.5;0;4;0;0;0;1;0;0;0;0;7.8;0.0;2.0;0.0;0.0;0.0;0.5;0.0;0.0;-4.4;-0.4;0;1;0.0;0;2;0.0;0;3;0.0;0;0;0.0;36.2;96.6;-60.4;-3.8;-0.2;-4.1;0.0;-0.1;0.0;-0.1;-0.2;0.3;0.1;0.0;0.0;0.0;15.9;0.0;0.0;11.1;0.0;0.0;25.0;17.2;0.0
20222023;NBBL;NBBL B;SEASON;Sartorius Juniors;Daniel Zelanto Vorsovsky;Point;Creator;20222023_NBBL_NBBL B_SEASON_Sartorius Juniors_Daniel Zelanto Vorsovsky;1.7;2.4;2004;15;401.1;174;50;48;24;3;34;38;159;1;0;26.7;11.6;3.3;3.2;1.6;0.2;2.3;2.5;10.6;24.4;7.0;48;92;52.2;19;71;26.8;67;163;41.1;21;31;67.7;105.9;96.6;9.3;3.2;0.8;3.9;2.8;1.5;0.3;1.8;0.2;104.9;7.0;7.1;21.7;1.4;7.3;3.1;0.8;22.7;49.6;46.9;16.1;6.1;12.9
