PLAYER;TEAM;DIV;EST POS;POS;EST ROLE;ROLE;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;DD;TD;MP;PT;RB;AS;ST;BS;TO;PF;EF;PER;PIE;2PM;2PA;2P%;3PM;3PA;3P%;FGM;FGA;FG%;FTM;FTA;FT%;ORTG;DRTG;NRTG;OBPM;DBPM;BPM;VORP;OWS;DWS;WS;WS/40;FIC;FIC/Gm;AS RATIO;AS RATE;AS/TO;REB%;ST%;BS%;USAGE;TS%;EFG%;TOV%;ORB%;FT-RATE
Romario Holloway;SG Junior Löwen Braunschweig;B;5.0;Big;1.0;Pure Creator;2005;8;245.0;174;87;11;18;14;14;24;241;6;0;30.6;21.8;10.9;1.4;2.3;1.8;1.8;3.0;30.1;55.5;23.9;71;100;71.0;3;10;30.0;74;110;67.3;23;36;63.9;138.5;85.5;53.0;8.2;0.6;8.9;5.9;2.6;0.7;3.3;0.5;170.3;21.3;2.9;7.7;0.8;21.7;3.7;5.8;24.3;69.9;68.6;10.0;20.8;20.9
Kristian Ortelli;Bamberg freakcity academy;A;3.1;Wing;1.5;Pure Creator;2006;11;356.5;174;93;45;19;5;52;25;176;3;0;32.4;15.8;8.5;4.1;1.7;0.5;4.7;2.3;16.0;26.7;10.8;53;109;48.6;10;33;30.3;63;142;44.4;38;67;56.7;94.1;107.6;-13.5;0.3;0.8;1.1;2.0;0.4;-0.2;0.2;0.0;125.6;11.4;6.7;19.2;0.9;14.5;2.7;1.2;26.8;51.5;47.9;23.3;11.3;26.8
Noah Popescu;BBA Giants Kornwestheim;B;2.5;Wing;2.5;Creator;2006;10;342.1;171;39;22;23;4;40;34;89;0;0;34.2;17.1;3.9;2.2;2.3;0.4;4.0;3.4;8.9;19.3;5.2;38;84;45.2;16;77;20.8;54;161;33.5;47;70;67.1;90.6;96.9;-6.3;0.3;0.8;1.1;2.0;0.3;0.3;0.6;0.1;48.3;4.8;3.3;9.2;0.6;7.1;3.5;1.1;28.9;45.2;38.5;17.3;4.0;29.2
Alan De Vries;TS Jahn München;B;2.5;Wing;1.9;Pure Creator;2005;10;308.3;171;41;16;18;1;17;7;125;0;0;30.8;17.1;4.1;1.6;1.8;0.1;1.7;0.7;12.5;27.8;13.7;15;38;39.5;42;114;36.8;57;152;37.5;15;25;60.0;105.2;88.4;16.8;7.3;0.5;7.8;6.1;1.1;0.7;1.8;0.2;94.1;9.4;3.1;8.7;0.9;7.1;3.0;0.3;25.1;52.8;51.3;9.4;1.7;9.9
Jared Grey;Team Urspring;A;2.9;Wing;2.1;Creator;2005;12;324.5;171;68;37;25;4;35;28;179;1;0;27.0;14.3;5.7;3.1;2.1;0.3;2.9;2.3;14.9;32.0;11.8;51;106;48.1;10;36;27.8;61;142;43.0;39;49;79.6;106.1;92.0;14.1;4.7;0.8;5.5;4.9;1.2;0.7;1.9;0.2;121.9;10.2;5.9;17.8;1.1;12.7;4.1;1.5;26.5;52.9;46.5;17.6;10.7;27.5
Leon Anbinder;Baskets Paderborn;A;2.1;Combo;1.3;Pure Creator;2005;12;312.7;170;42;46;28;1;44;45;167;1;0;26.1;14.2;3.5;3.8;2.3;0.1;3.7;3.8;13.9;28.4;10.0;49;74;66.2;16;52;30.8;65;126;51.6;24;39;61.5;100.3;90.5;9.7;0.4;0.7;1.2;2.0;0.7;0.7;1.4;0.2;103.6;8.6;7.8;23.3;1.0;7.8;4.6;0.3;26.6;60.0;57.9;23.5;4.4;19.0
Jorke Aav;Team Urspring;A;2.1;Combo;1.2;Pure Creator;2005;11;311.0;165;58;50;19;1;32;26;173;0;0;28.3;15.0;5.3;4.5;1.7;0.1;2.9;2.4;15.7;32.1;13.6;34;64;53.1;20;61;32.8;54;125;43.2;37;54;68.5;110.3;92.2;18.2;5.1;1.2;6.3;5.2;1.4;0.6;2.0;0.3;121.3;11.0;8.2;26.0;1.6;11.3;3.2;0.4;25.1;56.3;51.2;17.7;2.5;29.6
Jeremey Jason Wontroba;Bayer Giants Leverkusen;A;3.9;Forward;2.4;Creator;2005;14;267.7;164;73;8;14;0;30;31;122;2;0;19.1;11.7;5.2;0.6;1.0;0.0;2.1;2.2;8.7;27.5;7.1;51;96;53.1;3;20;15.0;54;116;46.6;53;98;54.1;98.0;88.5;9.6;-1.6;-2.2;-3.8;-1.0;0.5;0.7;1.2;0.2;77.3;5.5;1.7;4.1;0.3;14.7;2.5;0.0;27.8;52.8;47.8;15.9;9.2;45.7
Karl Bühner;Young Rasta Dragons;A;4.9;Big;2.6;Creator;2005;13;330.6;162;108;23;28;12;37;31;208;4;0;25.4;12.5;8.3;1.8;2.2;0.9;2.8;2.4;16.0;32.8;11.9;50;85;58.8;12;58;20.7;62;143;43.4;26;33;78.8;101.9;83.1;18.9;4.1;0.7;4.8;4.4;0.9;1.2;2.0;0.2;144.6;11.1;4.1;11.5;0.6;19.8;4.3;3.6;25.0;51.9;47.6;19.0;14.5;18.2
Ben Lenhardt;Berlin Braves Baskets;B;1.7;Point;2.2;Creator;2006;13;330.1;162;40;32;36;0;25;16;154;1;0;25.4;12.5;3.1;2.5;2.8;0.0;1.9;1.2;11.8;28.2;10.7;33;57;57.9;28;88;31.8;61;145;42.1;12;19;63.2;101.2;84.0;17.2;4.9;2.0;6.9;5.8;0.8;1.0;1.8;0.2;112.6;8.7;6.2;17.3;1.3;6.6;5.4;0.0;22.8;53.1;51.7;14.0;2.0;8.3
Hendrik Metsa;Medipolis SC Jena;A;1.9;Combo;1.0;Pure Creator;2007;12;273.5;162;28;32;14;2;32;24;153;0;0;22.8;13.5;2.3;2.7;1.2;0.2;2.7;2.0;12.8;32.2;9.4;22;45;48.9;30;52;57.7;52;97;53.6;28;36;77.8;120.2;98.8;21.4;4.8;-0.9;3.9;3.5;1.5;0.3;1.7;0.3;104.0;8.7;7.4;21.0;1.0;6.1;2.5;0.8;22.2;72.7;69.1;22.1;5.6;28.9
Lenni Kunzewitsch;Basketball Löwen Erfurt;B;4.2;Forward;1.0;Pure Creator;2005;7;224.1;159;70;26;17;18;37;24;173;4;1;32.0;22.7;10.0;3.7;2.4;2.6;5.3;3.4;24.7;36.3;15.8;35;64;54.7;16;51;31.4;51;115;44.3;41;57;71.9;100.1;97.2;2.9;2.9;2.4;5.3;3.8;0.8;0.2;0.9;0.2;120.6;17.2;5.7;14.1;0.7;15.2;3.4;6.2;30.9;57.7;51.3;20.9;8.6;35.7
Amon Levi Dörries;Alba Berlin;A;3.3;Forward;2.4;Creator;2006;11;300.4;159;57;16;16;4;43;24;127;0;0;27.3;14.5;5.2;1.5;1.5;0.4;3.9;2.2;11.5;22.2;9.6;61;115;53.0;3;11;27.3;64;126;50.8;28;48;58.3;90.9;85.5;5.4;2.0;-0.5;1.5;2.1;0.1;0.9;1.0;0.1;76.0;6.9;3.3;8.2;0.4;10.1;2.5;1.3;25.2;54.8;52.0;22.6;8.3;22.2
David Engelhart;Würzburg Baskets Akademie;B;4.2;Forward;3.2;Neutral;2005;10;295.7;159;85;19;6;5;20;18;154;3;0;29.6;15.9;8.5;1.9;0.6;0.5;2.0;1.8;15.4;27.8;10.8;55;123;44.7;4;21;19.0;59;144;41.0;37;52;71.2;107.7;100.5;7.1;1.5;-1.3;0.1;1.2;1.2;0.1;1.3;0.2;104.0;10.4;3.8;9.9;1.0;15.8;1.0;1.4;25.7;48.2;42.4;10.7;12.9;25.7
Leif Zentgraf;Eintracht Frankfurt;B;3.3;Forward;2.3;Creator;2005;11;317.1;157;72;24;19;4;17;26;178;0;0;28.8;14.3;6.5;2.2;1.7;0.4;1.5;2.4;16.2;31.5;14.7;37;61;60.7;16;60;26.7;53;121;43.8;35;48;72.9;119.9;80.4;39.4;7.3;0.6;7.9;6.2;1.7;1.1;2.9;0.4;124.5;11.3;5.2;14.5;1.4;12.0;3.0;1.2;20.5;56.0;50.4;10.7;6.9;28.9
Nil Failenschmid Clavera;VfL Kirchheim Knights;B;5.0;Big;1.7;Pure Creator;2005;11;344.4;157;123;36;9;20;24;24;266;6;0;31.3;14.3;11.2;3.3;0.8;1.8;2.2;2.2;24.2;37.4;19.0;62;98;63.3;7;24;29.2;69;122;56.6;12;14;85.7;119.3;91.2;28.1;7.5;2.6;10.1;8.1;1.8;0.6;2.5;0.3;192.0;17.5;7.2;22.5;1.5;20.2;1.4;5.9;19.3;61.5;59.4;15.8;13.6;9.8
Lars Kremer;Bayer Giants Leverkusen;A;1.3;Point;1.6;Pure Creator;2006;14;334.4;156;47;51;33;6;53;37;117;0;0;23.9;11.1;3.4;3.6;2.4;0.4;3.8;2.6;8.4;20.2;6.4;45;99;45.5;14;63;22.2;59;162;36.4;24;44;54.5;83.9;86.8;-2.9;0.2;1.0;1.2;2.1;-0.4;1.0;0.6;0.1;74.8;5.3;7.5;20.7;1.0;7.6;4.7;1.8;28.0;43.4;40.7;22.6;3.8;14.8
Miran Evin;Baskets Juniors Oldenburg;A;2.3;Combo;2.3;Creator;2006;13;345.4;154;45;35;11;1;30;33;129;0;0;26.6;11.8;3.5;2.7;0.8;0.1;2.3;2.5;9.9;21.7;7.7;38;66;57.6;17;58;29.3;55;124;44.4;27;45;60.0;105.5;93.8;11.7;3.0;-1.3;1.7;2.5;0.9;0.6;1.5;0.2;80.9;6.2;6.6;19.2;1.2;7.2;1.6;0.3;21.1;54.2;51.2;17.3;3.2;21.8
Jonathan Paul Zeisberger;KICKZ IBAM;A;1.3;Point;1.7;Pure Creator;2006;13;368.8;151;35;55;18;1;32;33;150;0;0;28.4;11.6;2.7;4.2;1.4;0.1;2.5;2.5;11.5;24.7;8.3;40;84;47.6;8;28;28.6;48;112;42.9;47;61;77.0;109.6;101.1;8.5;2.7;0.0;2.6;3.2;1.3;0.2;1.5;0.2;97.9;7.5;9.3;29.9;1.7;5.4;2.6;0.3;20.2;55.4;46.4;18.7;2.6;42.0
David Volz;VfL Kirchheim Knights;B;2.4;Combo;2.7;Creator;2005;13;355.9;150;42;38;7;1;37;23;98;0;0;27.4;11.5;3.2;2.9;0.5;0.1;2.8;1.8;7.5;17.3;5.2;31;81;38.3;22;64;34.4;53;145;36.6;22;33;66.7;92.7;100.3;-7.6;1.1;-1.8;-0.7;0.9;0.4;0.1;0.5;0.1;62.1;4.8;6.1;18.5;1.0;6.6;1.0;0.3;23.9;47.4;44.1;18.8;5.4;15.2
Mika Freitag;Rostock Seawolves;B;2.4;Combo;1.4;Pure Creator;2006;6;188.9;148;27;11;6;0;16;8;97;0;0;31.5;24.7;4.5;1.8;1.0;0.0;2.7;1.3;16.2;36.2;13.6;25;53;47.2;26;73;35.6;51;126;40.5;20;24;83.3;107.5;107.6;-0.1;3.4;-0.7;2.7;2.2;1.1;-0.2;0.9;0.2;63.0;10.5;2.6;7.1;0.7;8.0;1.6;0.0;36.1;54.6;50.8;10.5;3.0;15.9
Musa Abra;Basketball Löwen Erfurt;B;1.7;Point;1.4;Pure Creator;2006;9;261.0;147;42;38;18;1;41;24;106;0;0;29.0;16.3;4.7;4.2;2.0;0.1;4.6;2.7;11.8;22.6;7.8;40;96;41.7;4;22;18.2;44;118;37.3;55;80;68.8;89.7;97.7;-8.0;-1.6;-0.5;-2.1;-0.1;0.2;0.2;0.4;0.1;67.3;7.5;7.1;18.6;0.9;7.9;3.2;0.3;29.5;49.0;39.0;21.1;5.0;46.6
Jannis Rümer;Bamberg freakcity academy;A;3.0;Wing;2.5;Creator;2005;11;289.9;147;54;18;10;2;16;15;126;0;0;26.4;13.4;4.9;1.6;0.9;0.2;1.5;1.4;11.5;26.3;8.2;37;65;56.9;17;64;26.6;54;129;41.9;22;36;61.1;103.2;110.7;-7.5;-0.9;-0.7;-1.6;0.2;0.8;-0.3;0.5;0.1;87.3;7.9;4.0;10.9;1.1;10.6;1.7;0.6;24.4;51.3;48.4;9.9;5.5;17.1
Simon Kohlhoff;Baskets Juniors Oldenburg;A;2.3;Combo;3.1;Neutral;2006;13;394.0;145;64;40;35;6;37;21;154;2;0;30.3;11.2;4.9;3.1;2.7;0.5;2.8;1.6;11.8;21.9;10.3;48;106;45.3;9;36;25.0;57;142;40.1;22;36;61.1;93.5;86.9;6.5;4.1;2.2;6.3;6.1;0.3;1.1;1.4;0.1;110.5;8.5;6.7;19.6;1.1;9.1;4.5;1.7;20.9;46.4;43.3;19.0;4.5;15.5
Benjamin Jeß;Hamburg Towers;A;3.5;Forward;3.0;Creator;2006;13;339.0;145;59;14;13;1;26;15;119;0;0;26.1;11.2;4.5;1.1;1.0;0.1;2.0;1.2;9.2;21.3;9.0;29;57;50.9;21;70;30.0;50;127;39.4;24;34;70.6;99.6;93.1;6.5;3.7;-1.1;2.6;3.0;0.6;0.6;1.2;0.1;80.5;6.2;3.1;8.1;0.5;9.7;1.9;0.3;20.8;51.6;47.6;15.5;6.1;18.9
Carlo Schult;Rostock Seawolves;B;2.8;Wing;1.5;Pure Creator;2006;8;224.6;145;25;13;9;4;17;26;113;0;0;28.1;18.1;3.1;1.6;1.1;0.5;2.1;3.3;14.1;29.8;8.6;23;42;54.8;30;73;41.1;53;115;46.1;9;13;69.2;113.8;103.6;10.2;1.3;-0.4;0.9;1.5;1.1;-0.1;1.1;0.2;70.4;8.8;3.7;9.2;0.8;5.6;1.9;1.6;24.5;60.3;59.1;12.3;3.2;7.8
Ben Diederichs;Team Südhessen;B;5.0;Big;1.6;Pure Creator;2005;9;214.4;144;78;6;13;9;21;26;156;3;0;23.8;16.0;8.7;0.7;1.4;1.0;2.3;2.9;17.3;38.7;14.2;59;97;60.8;3;20;15.0;62;117;53.0;17;35;48.6;101.5;90.0;11.5;0.5;-1.1;-0.6;0.7;0.8;0.4;1.2;0.2;102.9;11.4;1.5;3.9;0.3;20.2;2.9;4.2;30.0;55.0;54.3;13.7;14.3;14.5
Marko Josipovic;VfL Kirchheim Knights;B;5.0;Big;2.1;Creator;2005;14;277.9;143;104;19;16;9;23;44;203;4;0;19.9;10.2;7.4;1.4;1.1;0.6;1.6;3.1;14.5;36.8;9.2;64;109;58.7;0;0;0.0;64;109;58.7;15;35;42.9;110.4;89.9;20.5;0.3;-0.4;-0.1;1.1;1.3;0.6;1.8;0.3;137.6;9.8;4.3;12.5;0.8;20.8;3.0;3.2;22.9;58.1;58.7;15.6;19.9;13.8
