TEAM;DIV;GP;MP;PT;DR;OR;RB;AS;ST;BS;TO;PF;EF;MP;PT;DR;OR;RB;AS;ST;BS;TO;PF;EF;2PM;2PA;2P%;3PM;3PA;3P%;FGM;FGA;FG%;FTM;FTA;FT%;PT;RB;AS;ST;BS;2P%;3P%;FG%;FT%;WINS;PACE;PER;PIE;ORTG;DRTG;NRTG;TS%;PPP;AS/TO;EFG%;TOV%;ORB%;FT-RATE;OPP EFG%;OPP TOV%;OPP ORB%;OPP FT-RATE
FC Bayern München;A;13;2600;1062;289;144;433;185;143;33;236;276;1034;200.0;81.7;22.2;11.1;33.3;14.2;11.0;2.5;18.2;21.2;79.5;284;556;51.1;86;309;27.8;370;865;42.8;236;327;72.2;80.1;35.0;15.7;9.8;2.2;53.7;29.3;45.8;60.1;8;81.2;16.1;50.7;100.6;98.6;2.0;53.3;1.0;0.8;47.7;19.2;31.9;27.3;50.5;20.3;33.9;23.0
HAKRO Merlins Crailsheim;B;10;2000;556;234;81;315;130;117;25;269;159;467;200.0;55.6;23.4;8.1;31.5;13.0;11.7;2.5;26.9;15.9;46.7;165;364;45.3;35;177;19.8;200;541;37.0;121;187;64.7;78.3;39.5;17.4;14.1;3.2;52.3;27.1;40.0;64.8;0;80.5;8.2;31.4;69.0;97.2;-28.2;45.1;0.7;0.5;40.2;30.4;25.4;22.4;46.6;21.6;40.2;16.5
Hamburg Towers;A;14;2800;1036;318;163;481;174;167;26;260;297;971;200.0;74.0;22.7;11.6;34.4;12.4;11.9;1.9;18.6;21.2;69.4;272;559;48.7;96;364;26.4;368;923;39.9;204;302;67.5;71.4;36.5;13.1;9.9;3.3;48.2;26.6;39.9;60.6;6;78.8;14.2;50.8;93.9;90.7;3.3;49.6;0.9;0.7;45.1;19.9;32.1;22.1;45.0;21.4;34.3;22.3
KICKZ IBAM;A;14;2800;1150;351;167;518;216;138;52;213;291;1256;200.0;82.1;25.1;11.9;37.0;15.4;9.9;3.7;15.2;20.8;89.7;315;591;53.3;104;337;30.9;419;928;45.2;208;304;68.4;75.4;33.8;13.1;7.2;2.5;45.3;32.8;40.6;65.9;9;76.5;18.9;58.5;107.4;98.5;8.9;54.8;1.1;1.0;50.8;16.9;34.6;22.4;46.8;17.8;31.0;25.3
Medipolis SC Jena;A;14;2800;1178;336;178;514;263;158;35;278;272;1258;200.0;84.1;24.0;12.7;36.7;18.8;11.3;2.5;19.9;19.4;89.9;304;577;52.7;105;321;32.7;409;898;45.5;255;378;67.5;77.2;31.5;16.1;11.1;2.5;48.9;33.9;42.3;66.3;7;81.5;18.0;57.9;103.2;94.7;8.5;56.1;1.0;0.9;51.4;20.9;36.6;28.4;49.8;22.6;28.2;22.5
Metropol Baskets Ruhr;B;8;1600;706;197;107;304;153;86;35;171;180;773;200.0;88.3;24.6;13.4;38.0;19.1;10.8;4.4;21.4;22.5;96.6;238;394;60.4;41;172;23.8;279;566;49.3;107;160;66.9;79.8;31.6;11.4;9.9;2.6;47.6;28.1;41.1;73.1;5;84.4;18.1;61.5;104.6;94.5;10.1;56.0;1.0;0.9;52.9;21.3;39.8;18.9;45.8;21.0;31.6;28.6
Niners Chemnitz Academy;A;13;2600;999;264;120;384;156;103;17;232;265;908;200.0;76.8;20.3;9.2;29.5;12.0;7.9;1.3;17.8;20.4;69.8;271;490;55.3;81;284;28.5;352;774;45.5;214;311;68.8;81.6;35.6;14.5;10.0;3.5;54.0;29.0;45.3;65.9;6;76.0;15.0;43.8;101.1;107.4;-6.3;55.6;1.0;0.7;50.7;20.5;30.3;27.6;50.3;17.4;41.5;18.9
Orange Academy;B;9;1800;623;231;107;338;133;81;65;169;154;655;200.0;69.2;25.7;11.9;37.6;14.8;9.0;7.2;18.8;17.1;72.8;201;416;48.3;40;166;24.1;241;582;41.4;101;176;57.4;67.3;41.6;13.4;10.9;2.1;43.7;21.3;35.2;61.6;5;78.1;14.5;56.0;88.7;86.3;2.4;47.7;0.9;0.8;44.8;20.6;31.8;17.4;39.2;19.0;38.6;17.2
Phoenix Hagen;B;9;1825;639;211;79;290;88;61;26;163;161;543;202.8;71.0;23.4;8.8;32.2;9.8;6.8;2.9;18.1;17.9;60.3;186;374;49.7;46;200;23.0;232;574;40.4;129;185;69.7;82.7;45.4;17.0;8.8;2.8;49.6;21.1;41.1;69.2;3;79.0;11.9;38.8;88.6;103.2;-14.6;49.3;0.9;0.5;44.4;20.1;24.3;22.5;44.2;14.9;43.6;18.0
Porsche BBA Ludwigsburg;A;14;2800;1191;347;191;538;275;174;66;231;270;1362;200.0;85.1;24.8;13.6;38.4;19.6;12.4;4.7;16.5;19.3;97.3;306;582;52.6;133;413;32.2;439;995;44.1;180;275;65.5;73.7;34.3;14.7;9.9;1.9;48.4;25.7;41.6;66.2;10;79.7;20.0;61.2;106.8;92.5;14.3;53.9;1.1;1.2;50.8;17.3;37.8;18.1;45.5;20.9;32.4;23.9
