Player;Rebounds
Epke Kruthaup;1.3
Michel Schillmöller;1.3
Frederik Selzer;1.3
Elias Nold;1.3
Niklas Zwanziger;1.3
Christopher Wersien;1.2
Isayah Marcin;1.2
Leo Kirchhoff;1.2
Gunnar Wanninger;1.2
Till Galler;1.1
Jonas Groß;1.1
David Sann;1.1
Yari Monninkhoff;1.0
Karl Heinz Kleine Holthaus;1.0
Leonard Menne;1.0
Saro Pisacane;1.0
Tim Rothämel;1.0
Sebastian Kuhn;1.0
Ben Denkena;1.0
Max Riedel;1.0
Ole Sebastiani;1.0
Jordan Juel Lockhart;1.0
Lukas Probst;1.0
Gregor Gewinner;1.0
Jasper Hegele;1.0
Julian Günther;1.0
Jakob Baur;1.0
Lukas Mutter;1.0
Pedja Labus;1.0
Tom Wübben;1.0
Jan Mausolf;1.0
Paul Schmorleiz;1.0
Julijo Kendes;1.0
Kaloyan Iskrenov Lozanov;0.9
Maurice Reiter;0.8
Maximilian Bartylak;0.8
Noah Kagiso Batsile;0.8
Ole Schwering;0.8
Joshua William Greene;0.8
Dariusz Blank;0.8
Kilian Walter;0.8
Niklas Schulz;0.7
Julian Kirchhoff;0.7
Noah Bakker;0.7
Felix Holzer;0.7
Moritz Renner;0.7
Lukas Schütz;0.6
Bar Amiel;0.6
Karl Haring;0.5
Leon Martinez;0.5
Fabian Kayser;0.5
Alexios Kyriakidis;0.5
Linus Jürgens;0.4
Robin Kurr;0.3
Bastian Nückel;0.3
Domenico-Germaine Hansmeier;0.3
Jonatan Kunze;0.3
Alfons Milatz;0.3
Erik Niggemann;0.3
Laurens Rieping;0.3
Noah Liem;0.2
#5 Bamberg;0.0
Leander Werner;0.0
