FormCurve-ID;Date;Season;League;Division;Season_Type;Team_long;Opponent_long;Team;Opponent;Home;PTS;OPP_PTS
14.04.2024_2023-2024_NBBL_NBBL A_PLAYOFFS_Alba Berlin_Young Rasta Dragons;14.04.2024;2023-2024;NBBL;NBBL A;PLAYOFFS;Alba Berlin;Young Rasta Dragons;Alba Berlin;Rasta Vechta;0;67;98
21.04.2024_2023-2024_NBBL_NBBL A_PLAYOFFS_Young Rasta Dragons_Alba Berlin;21.04.2024;2023-2024;NBBL;NBBL A;PLAYOFFS;Young Rasta Dragons;Alba Berlin;Rasta Vechta;Alba Berlin;0;74;76
21.04.2024_2023-2024_NBBL_NBBL A_PLAYOFFS_Bayer Giants Leverkusen_Baskets Juniors Oldenburg;21.04.2024;2023-2024;NBBL;NBBL A;PLAYOFFS;Bayer Giants Leverkusen;Baskets Juniors Oldenburg;Leverkusen;Oldenburg;1;65;64
21.04.2024_2023-2024_NBBL_NBBL A_PLAYOFFS_Baskets Juniors Oldenburg_Bayer Giants Leverkusen;21.04.2024;2023-2024;NBBL;NBBL A;PLAYOFFS;Baskets Juniors Oldenburg;Bayer Giants Leverkusen;Oldenburg;Leverkusen;0;64;65
21.04.2024_2023-2024_NBBL_NBBL A_PLAYOFFS_Alba Berlin_Young Rasta Dragons;21.04.2024;2023-2024;NBBL;NBBL A;PLAYOFFS;Alba Berlin;Young Rasta Dragons;Alba Berlin;Rasta Vechta;1;76;74
23.04.2024_2023-2024_NBBL_NBBL A_PLAYOFFS_KICKZ IBAM_FC Bayern München;23.04.2024;2023-2024;NBBL;NBBL A;PLAYOFFS;KICKZ IBAM;FC Bayern München;IBAM;FC Bayern;0;87;96
23.04.2024_2023-2024_NBBL_NBBL A_PLAYOFFS_FC Bayern München_KICKZ IBAM;23.04.2024;2023-2024;NBBL;NBBL A;PLAYOFFS;FC Bayern München;KICKZ IBAM;FC Bayern;IBAM;1;96;87
28.04.2024_2023-2024_NBBL_NBBL A_PLAYOFFS_Young Rasta Dragons_Alba Berlin;28.04.2024;2023-2024;NBBL;NBBL A;PLAYOFFS;Young Rasta Dragons;Alba Berlin;Rasta Vechta;Alba Berlin;1;78;64
28.04.2024_2023-2024_NBBL_NBBL A_PLAYOFFS_Bayer Giants Leverkusen_Baskets Juniors Oldenburg;28.04.2024;2023-2024;NBBL;NBBL A;PLAYOFFS;Bayer Giants Leverkusen;Baskets Juniors Oldenburg;Leverkusen;Oldenburg;0;75;78
28.04.2024_2023-2024_NBBL_NBBL A_PLAYOFFS_Baskets Juniors Oldenburg_Bayer Giants Leverkusen;28.04.2024;2023-2024;NBBL;NBBL A;PLAYOFFS;Baskets Juniors Oldenburg;Bayer Giants Leverkusen;Oldenburg;Leverkusen;1;78;75
28.04.2024_2023-2024_NBBL_NBBL A_PLAYOFFS_Alba Berlin_Young Rasta Dragons;28.04.2024;2023-2024;NBBL;NBBL A;PLAYOFFS;Alba Berlin;Young Rasta Dragons;Alba Berlin;Rasta Vechta;0;64;78
11.05.2024_2023-2024_NBBL_NBBL A_PLAYOFFS_Young Rasta Dragons_FC Bayern München;11.05.2024;2023-2024;NBBL;NBBL A;PLAYOFFS;Young Rasta Dragons;FC Bayern München;Rasta Vechta;FC Bayern;1;78;71
11.05.2024_2023-2024_NBBL_NBBL A_PLAYOFFS_Porsche BBA Ludwigsburg_Baskets Juniors Oldenburg;11.05.2024;2023-2024;NBBL;NBBL A;PLAYOFFS;Porsche BBA Ludwigsburg;Baskets Juniors Oldenburg;Ludwigsburg;Oldenburg;0;74;81
11.05.2024_2023-2024_NBBL_NBBL A_PLAYOFFS_FC Bayern München_Young Rasta Dragons;11.05.2024;2023-2024;NBBL;NBBL A;PLAYOFFS;FC Bayern München;Young Rasta Dragons;FC Bayern;Rasta Vechta;0;71;78
11.05.2024_2023-2024_NBBL_NBBL A_PLAYOFFS_Baskets Juniors Oldenburg_Porsche BBA Ludwigsburg;11.05.2024;2023-2024;NBBL;NBBL A;PLAYOFFS;Baskets Juniors Oldenburg;Porsche BBA Ludwigsburg;Oldenburg;Ludwigsburg;1;81;74
12.05.2024_2023-2024_NBBL_NBBL A_PLAYOFFS_Young Rasta Dragons_Baskets Juniors Oldenburg;12.05.2024;2023-2024;NBBL;NBBL A;PLAYOFFS;Young Rasta Dragons;Baskets Juniors Oldenburg;Rasta Vechta;Oldenburg;1;89;54
12.05.2024_2023-2024_NBBL_NBBL A_PLAYOFFS_Baskets Juniors Oldenburg_Young Rasta Dragons;12.05.2024;2023-2024;NBBL;NBBL A;PLAYOFFS;Baskets Juniors Oldenburg;Young Rasta Dragons;Oldenburg;Rasta Vechta;0;54;89
