PLAYER;TEAM;DIV;EST POS;POS;EST ROLE;ROLE;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;DD;TD;MP;PT;RB;AS;ST;BS;TO;PF;EF;PER;PIE;2PM;2PA;2P%;3PM;3PA;3P%;FGM;FGA;FG%;FTM;FTA;FT%;ORTG;DRTG;NRTG;OBPM;DBPM;BPM;VORP;OWS;DWS;WS;WS/40;FIC;FIC/Gm;AS RATIO;AS RATE;AS/TO;REB%;ST%;BS%;USAGE;TS%;EFG%;TOV%;ORB%;FT-RATE
Lars Kremer;Bayer Giants Leverkusen;A;1.9;Combo;1.4;Pure Creator;2006;6;135.2;57;21;19;11;2;23;18;55;0;0;22.5;9.5;3.5;3.2;1.8;0.3;3.8;3.0;9.2;20.2;7.2;13;25;52.0;5;20;25.0;18;45;40.0;16;21;76.2;90.9;88.3;2.6;-0.1;0.5;0.4;2.0;0.1;0.4;0.4;0.1;33.6;5.6;7.9;23.2;0.8;9.1;4.1;1.6;23.9;53.4;45.6;29.8;8.3;35.6
Jared Grey;Team Urspring;A;3.5;Forward;2.9;Creator;2005;4;127.5;56;28;14;9;4;13;9;59;0;0;31.9;14.0;7.0;3.5;2.3;1.0;3.3;2.3;14.8;24.5;10.5;17;36;47.2;3;15;20.0;20;51;39.2;13;21;61.9;95.6;96.2;-0.6;0.1;0.7;0.8;2.0;0.2;0.2;0.4;0.1;42.6;10.7;6.1;18.2;1.1;14.3;3.7;3.5;26.1;47.1;42.2;17.7;8.7;25.5
Oskar Humpert;UBC Münster;A;3.7;Forward;1.3;Pure Creator;2005;3;81.9;55;16;6;3;3;8;12;51;1;0;27.3;18.3;5.3;2.0;1.0;1.0;2.7;4.0;17.0;30.8;12.8;18;25;72.0;4;13;30.8;22;38;57.9;7;15;46.7;108.4;96.5;11.9;-1.0;0.0;-1.0;0.9;0.3;0.1;0.4;0.2;32.4;10.8;4.2;11.0;0.8;10.9;1.8;3.0;26.4;62.5;63.2;15.2;8.3;18.4
Marko Petric;Young Rasta Dragons;A;3.5;Forward;4.1;Receiver;2008;7;169.2;53;28;4;2;0;13;20;41;0;0;24.2;7.6;4.0;0.6;0.3;0.0;1.9;2.9;5.9;10.5;2.4;5;14;35.7;13;37;35.1;18;51;35.3;4;4;100.0;98.6;95.4;3.2;0.6;-1.9;-1.3;0.6;0.2;0.3;0.4;0.1;19.8;2.8;2.3;6.0;0.3;9.2;0.6;0.0;16.0;50.4;48.0;19.8;6.1;7.8
Noah Koch;Young Rasta Dragons;A;2.9;Wing;3.8;Neutral;2007;8;159.6;52;35;10;11;1;13;12;58;0;0;20.0;6.5;4.4;1.3;1.4;0.1;1.6;1.5;7.3;18.0;4.9;18;35;51.4;1;17;5.9;19;52;36.5;13;18;72.2;95.9;89.0;6.9;0.3;-0.5;-0.2;1.6;0.2;0.4;0.6;0.1;39.8;5.0;4.7;13.2;0.8;12.6;3.5;0.7;18.9;43.9;37.5;17.8;11.6;25.0
Jakob Lang;Medipolis SC Jena;A;4.7;Forward;2.0;Pure Creator;2005;3;90.5;52;22;2;0;0;10;7;49;0;0;30.2;17.3;7.3;0.7;0.0;0.0;3.3;2.3;16.3;25.1;14.0;10;22;45.5;5;8;62.5;15;30;50.0;17;19;89.5;109.3;103.2;6.1;-0.8;-0.4;-1.2;0.7;0.3;0.0;0.4;0.2;27.9;9.3;1.5;4.0;0.2;16.2;0.0;0.0;24.6;69.1;58.3;20.7;3.1;56.7
Travis Davis;Porsche BBA Ludwigsburg;A;1.3;Point;2.1;Creator;2006;3;86.9;52;9;15;5;0;19;4;27;0;0;29.0;17.3;3.0;5.0;1.7;0.0;6.3;1.3;9.0;18.3;7.3;14;24;58.3;4;22;18.2;18;46;39.1;12;19;63.2;85.3;89.5;-4.2;-2.0;-1.5;-3.6;-0.8;-0.1;0.2;0.1;0.1;16.6;5.5;7.0;19.5;0.8;5.7;2.8;0.0;35.6;48.5;43.5;25.9;2.6;26.1
Leon Anbinder;Baskets Paderborn;A;1.5;Point;2.0;Creator;2005;3;97.2;52;8;6;19;0;14;10;43;1;0;32.4;17.3;2.7;2.0;6.3;0.0;4.7;3.3;14.3;25.1;10.8;13;16;81.3;6;26;23.1;19;42;45.2;8;13;61.5;86.0;83.9;2.1;-1.4;2.4;1.0;2.1;-0.1;0.3;0.3;0.1;28.4;9.5;3.8;9.5;0.4;4.5;9.1;0.0;26.9;55.1;52.4;22.7;3.1;19.0
Simon Feneberg;Tornados Franken;B;2.1;Combo;1.1;Pure Creator;2005;3;106.9;51;21;23;8;1;24;8;49;1;0;35.6;17.0;7.0;7.7;2.7;0.3;8.0;2.7;16.3;18.9;13.5;10;22;45.5;7;23;30.4;17;45;37.8;10;13;76.9;82.4;94.8;-12.4;-0.7;0.8;0.0;1.4;-0.2;0.2;0.0;0.0;32.1;10.7;9.7;28.8;1.0;10.8;3.6;1.2;28.2;50.8;45.6;32.1;0.0;22.2
Thore Dilschmann;UBC Münster;A;2.8;Wing;2.4;Creator;2006;3;101.0;50;18;9;3;2;6;8;40;0;0;33.7;16.7;6.0;3.0;1.0;0.7;2.0;2.7;13.3;21.4;10.6;9;23;39.1;6;19;31.6;15;42;35.7;14;23;60.9;101.7;98.1;3.6;0.1;0.1;0.2;1.6;0.2;0.1;0.3;0.1;28.6;9.5;5.5;14.8;1.5;9.9;1.4;1.6;23.6;48.8;42.9;10.3;5.6;33.3
Johann Helwig;Baskets Juniors Oldenburg;A;2.8;Wing;3.9;Neutral;2006;8;192.3;49;19;8;11;6;16;27;46;0;0;24.0;6.1;2.4;1.0;1.4;0.8;2.0;3.4;5.8;12.1;1.7;10;18;55.6;5;20;25.0;15;38;39.5;14;22;63.6;92.9;96.8;-3.9;-0.3;0.7;0.3;2.0;0.1;0.2;0.3;0.1;25.0;3.1;4.3;12.1;0.5;6.1;3.0;3.8;14.7;52.4;46.1;25.1;8.1;36.8
Dusan Nikolic;Eintracht Frankfurt;B;2.6;Wing;1.0;Pure Creator;2005;2;65.7;49;13;5;4;0;6;6;48;0;0;32.9;24.5;6.5;2.5;2.0;0.0;3.0;3.0;24.0;45.1;24.6;14;23;60.9;4;11;36.4;18;34;52.9;9;10;90.0;121.6;108.8;12.7;-0.2;1.0;0.8;2.0;0.6;0.0;0.5;0.3;30.0;15.0;3.6;10.9;0.8;12.9;3.4;0.0;32.2;64.5;58.8;13.5;3.6;26.5
Abdulhay Kömürkara;Porsche BBA Ludwigsburg;A;2.9;Wing;3.3;Neutral;2005;5;116.0;48;21;7;8;0;10;4;45;0;0;23.2;9.6;4.2;1.4;1.6;0.0;2.0;0.8;9.0;20.7;7.4;10;18;55.6;7;21;33.3;17;39;43.6;7;14;50.0;100.2;92.6;7.6;-0.1;-0.4;-0.5;1.3;0.2;0.2;0.4;0.1;34.3;6.9;4.6;12.3;0.7;10.3;3.4;0.0;20.0;53.8;52.6;18.1;7.7;17.9
Jeremey Jason Wontroba;Bayer Giants Leverkusen;A;4.0;Forward;3.7;Neutral;2005;6;91.5;47;21;2;7;2;9;9;30;0;0;15.3;7.8;3.5;0.3;1.2;0.3;1.5;1.5;5.0;19.9;3.7;19;42;45.2;0;6;0.0;19;48;39.6;9;20;45.0;84.0;86.0;-2.0;-3.8;-1.1;-4.9;-1.5;-0.1;0.3;0.2;0.1;18.8;3.1;1.2;3.0;0.2;13.4;3.8;2.4;30.1;42.0;39.6;13.7;9.8;18.8
Desmond Yiamu;FC Bayern München;A;4.1;Forward;2.0;Creator;2006;5;100.9;47;39;10;8;1;6;14;90;0;0;20.2;9.4;7.8;2.0;1.6;0.2;1.2;2.8;18.0;39.8;12.0;22;31;71.0;0;0;0.0;22;31;71.0;3;3;100.0;141.8;93.3;48.5;2.4;0.7;3.1;3.8;0.8;0.2;1.0;0.4;62.6;12.5;8.1;24.7;1.7;20.7;4.0;1.1;15.6;73.0;71.0;15.7;19.5;9.7
Leonhard Laar;Team Urspring;A;3.3;Forward;3.3;Neutral;2006;4;101.8;46;11;1;2;1;6;8;35;0;0;25.5;11.5;2.8;0.3;0.5;0.3;1.5;2.0;8.8;20.4;5.7;11;19;57.9;5;14;35.7;16;33;48.5;9;12;75.0;112.6;107.1;5.5;-1.1;-1.4;-2.6;-0.2;0.4;0.0;0.3;0.1;20.5;5.1;0.8;2.2;0.2;7.0;1.0;1.1;19.7;60.8;56.1;13.5;7.3;27.3
Sebastian Schwachhofer;Porsche BBA Ludwigsburg;A;3.7;Forward;3.7;Neutral;2005;5;124.9;44;29;7;13;2;7;18;56;1;0;25.0;8.8;5.8;1.4;2.6;0.4;1.4;3.6;11.2;21.6;6.3;13;27;48.1;1;6;16.7;14;33;42.4;15;28;53.6;103.4;86.0;17.4;-0.7;1.2;0.5;2.0;0.3;0.4;0.6;0.2;39.3;7.9;4.8;12.8;1.0;13.2;5.1;1.6;17.4;49.8;43.9;13.4;9.9;45.5
Nikolas Sermpezis;FC Bayern München;A;4.0;Forward;3.4;Neutral;2007;5;93.5;44;25;3;1;0;3;17;48;0;0;18.7;8.8;5.0;0.6;0.2;0.0;0.6;3.4;9.6;24.2;4.5;14;28;50.0;4;10;40.0;18;38;47.4;4;6;66.7;123.7;103.6;20.2;-0.6;-1.7;-2.3;0.2;0.5;0.0;0.5;0.2;27.8;5.6;2.5;6.7;1.0;14.3;0.5;0.0;19.2;54.5;52.6;6.9;14.4;10.5
Leon Amadou Geißler;Team Urspring;A;5.0;Big;2.7;Creator;2006;4;102.3;44;30;5;3;6;11;12;56;2;0;25.6;11.0;7.5;1.3;0.8;1.5;2.8;3.0;14.0;25.8;8.7;17;25;68.0;0;0;0.0;17;25;68.0;10;23;43.5;103.2;97.5;5.7;-1.8;0.0;-1.7;0.4;0.3;0.1;0.4;0.1;38.6;9.7;3.7;10.4;0.5;19.1;1.5;6.5;20.3;64.3;68.0;23.8;12.0;40.0
Julis Baumer;Porsche BBA Ludwigsburg;A;2.3;Combo;2.2;Creator;2007;5;148.2;43;20;24;6;4;17;14;60;0;0;29.6;8.6;4.0;4.8;1.2;0.8;3.4;2.8;12.0;17.6;8.1;4;11;36.4;8;18;44.4;12;29;41.4;11;14;78.6;105.0;95.3;9.7;1.6;0.6;2.2;3.2;0.3;0.2;0.5;0.1;42.8;8.6;12.8;41.8;1.4;7.7;2.0;2.6;14.8;62.1;55.2;32.6;5.3;37.9
Jarne Jürgens;Young Rasta Dragons;A;4.1;Forward;3.5;Neutral;2005;8;136.3;42;32;4;4;2;9;19;58;0;0;17.0;5.3;4.0;0.5;0.5;0.3;1.1;2.4;7.3;19.0;3.8;16;25;64.0;1;2;50.0;17;27;63.0;7;14;50.0;114.4;93.0;21.4;0.2;-1.1;-0.9;1.0;0.4;0.3;0.6;0.2;36.5;4.6;3.4;9.2;0.4;13.5;1.5;1.5;12.8;64.4;64.8;21.3;14.4;25.9
Joscha Eckert;Tornados Franken;B;2.5;Combo;2.6;Creator;2005;3;96.0;42;20;11;11;0;9;10;44;0;0;32.0;14.0;6.7;3.7;3.7;0.0;3.0;3.3;14.7;21.8;10.6;10;25;40.0;4;15;26.7;14;40;35.0;10;15;66.7;92.2;91.9;0.3;-1.2;1.6;0.3;1.7;0.1;0.2;0.3;0.1;30.4;10.1;6.8;18.9;1.2;11.4;5.5;0.0;23.3;45.7;40.0;16.2;4.5;25.0
Benjamin Koppke;Niners Chemnitz Academy;A;5.0;Big;1.9;Pure Creator;2005;2;56.7;42;18;1;0;2;2;5;46;0;0;28.4;21.0;9.0;0.5;0.0;1.0;1.0;2.5;23.0;42.3;13.7;15;21;71.4;1;2;50.0;16;23;69.6;9;17;52.9;131.8;120.2;11.6;-2.0;-0.1;-2.2;0.4;0.5;-0.1;0.3;0.2;31.4;15.7;1.2;3.0;0.5;17.9;0.0;2.7;26.5;70.5;71.7;6.2;9.4;39.1
Silver Bieling;KICKZ IBAM;A;3.0;Wing;1.0;Pure Creator;2005;4;54.1;41;10;4;0;1;7;2;34;0;0;13.5;10.3;2.5;1.0;0.0;0.3;1.8;0.5;8.5;38.8;8.7;6;11;54.5;7;16;43.8;13;27;48.1;8;9;88.9;117.2;108.0;9.2;-3.0;-1.7;-4.6;-0.9;0.4;0.0;0.4;0.3;22.4;5.6;3.6;10.2;0.6;11.1;0.0;2.0;32.5;67.0;61.1;18.4;4.4;29.6
Paul Bahn;Alba Berlin;A;2.0;Combo;4.6;Receiver;2006;6;124.5;41;9;2;10;0;13;6;13;0;0;20.7;6.8;1.5;0.3;1.7;0.0;2.2;1.0;2.2;8.0;1.0;5;22;22.7;5;21;23.8;10;43;23.3;16;19;84.2;74.4;94.2;-19.9;-2.8;-0.1;-2.9;-0.5;-0.3;0.2;-0.1;0.0;5.1;0.9;1.2;3.1;0.2;4.2;3.9;0.0;21.8;40.5;29.1;20.2;3.1;37.2
Jenö Pildner;Team Urspring;A;2.9;Wing;3.2;Neutral;2006;4;107.7;41;19;7;12;2;5;11;54;0;0;26.9;10.3;4.8;1.8;3.0;0.5;1.3;2.8;13.5;26.8;9.2;9;13;69.2;6;22;27.3;15;35;42.9;5;7;71.4;113.4;93.8;19.6;0.3;1.6;1.9;2.8;0.4;0.2;0.6;0.2;38.9;9.7;5.3;15.7;1.4;11.5;5.9;2.1;18.2;54.2;51.4;11.6;9.1;14.3
Pablo Schmidt;Tornados Franken;B;5.0;Big;2.7;Creator;2005;3;68.9;40;30;2;2;1;8;9;43;2;0;23.0;13.3;10.0;0.7;0.7;0.3;2.7;3.0;14.3;27.2;8.8;16;30;53.3;0;0;0.0;16;30;53.3;8;18;44.4;96.2;97.7;-1.5;-3.0;-1.5;-4.5;-1.1;0.1;0.1;0.2;0.1;29.3;9.8;1.7;4.3;0.3;23.9;1.4;1.8;26.6;53.8;53.3;17.4;21.8;26.7
Johann Grünloh;Young Rasta Dragons;A;5.0;Big;2.1;Creator;2005;3;75.0;40;32;6;1;13;5;10;73;1;0;25.0;13.3;10.7;2.0;0.3;4.3;1.7;3.3;24.3;45.4;18.8;13;22;59.1;3;3;100.0;16;25;64.0;5;10;50.0;132.9;80.8;52.1;2.2;0.9;3.1;3.5;0.5;0.3;0.8;0.4;55.5;18.5;5.7;16.7;1.2;22.2;0.7;18.1;18.8;69.0;70.0;14.5;20.7;20.0
Janis Jünemann;Sartorius Juniors;B;3.6;Forward;1.7;Pure Creator;2005;3;89.2;40;20;8;4;3;18;8;36;0;0;29.7;13.3;6.7;2.7;1.3;1.0;6.0;2.7;12.0;21.1;9.6;14;21;66.7;1;2;50.0;15;23;65.2;9;22;40.9;87.0;99.9;-12.9;-1.4;0.5;-0.9;0.9;0.0;0.1;0.0;0.0;24.3;8.1;5.2;15.1;0.4;14.5;2.4;3.5;24.9;62.9;67.4;35.5;10.5;39.1
