Player;Steals
Gunnar Wanninger;0.3
Felix Holzer;0.3
Domenico-Germaine Hansmeier;0.3
Maximilian Eichbaum;0.3
Tim Sauer;0.3
Karl Heinz Kleine Holthaus;0.3
Jonas Mendl;0.3
Bar Amiel;0.3
Alen Blakaj;0.3
Daniel Obehi Mack;0.3
Kai Müsse;0.3
Timon Hoffmann;0.3
Mathieu Adovi-Ley;0.3
Liam Gföllner;0.3
Erik Niggemann;0.3
Julian Kirchhoff;0.3
Norwin Gumbinger;0.3
Laurens Rieping;0.3
Dariusz Blank;0.3
Ruben Köster;0.3
Alan Topic Volovec;0.3
Karl Haring;0.3
Eduard Rantz;0.2
Kaloyan Iskrenov Lozanov;0.2
Ole Schwering;0.2
Leonard Menne;0.2
Paul Schmorleiz;0.2
Sebastian Kuhn;0.2
Jakob Baur;0.2
Bastian Nückel;0.2
Lennart Tröppner;0.1
Jonatan Kunze;0.1
Frederik Selzer;0.1
Niklas Schulz;0.1
Gregor Gewinner;0.1
Mateja Pivnicki;0.1
Lukas Schütz;0.1
Till Galler;0.1
Paul Luis Schwabe;0.1
Benno Wolf;0.1
Jayson Pfannenstiel;0.1
Alexios Kyriakidis;0.0
Jules Victor Apollon Galvani;0.0
Kilian Walter;0.0
Moritz Renner;0.0
Maurice Reiter;0.0
Leonard Kant;0.0
Marko Volf;0.0
Niklas Bertram;0.0
Maj Dolinsek;0.0
#5 Bamberg;0.0
Maximilian Bartylak;0.0
Niklas Zwanziger;0.0
Fabian Kayser;0.0
Aleksandar Zecevic;0.0
Jan Jesgarzewski;0.0
Alfons Milatz;0.0
Ole Werker;0.0
Noah Kagiso Batsile;0.0
Timo Wachsmuth;0.0
